source_module,imported_module,symbol_scope,category,needed_by_hub,direct_or_indirect,reason_exists,proposed_reduction_pattern,behavior_risk,protecting_tests
final_emission_strict_social_stack,game.final_emission_finalize,module,O,true,direct,Exit finalize_emission_output,Keep single orchestration import,low,test_final_emission_boundary_convergence;test_turn_packet_stage_diff_integration
final_emission_strict_social_stack,game.final_emission_terminal_pipeline,module,O,true,direct,Late terminal enforcement pipeline,Keep single orchestration import,low,test_final_emission_gate_orchestration_order;test_final_emission_gate_n4
final_emission_strict_social_stack,game.dialogue_social_plan,symbols,P,true,direct,Pre-build invariant and late dialogue strip,Keep order-sensitive,high,test_dialogue_plan_final_emission_gate;test_final_emission_gate_orchestration_order
final_emission_strict_social_stack,game.final_emission_fem_assembly,module,M,true,direct,FEM base build and layer meta merge into FEM,Expand to absorb merge_* imports from layer modules,low,test_final_emission_gate_diagnostics;test_final_emission_gate_selector_snapshots
final_emission_strict_social_stack,game.final_emission_repairs,module,P,true,direct,Answer/social repair layers,Keep; optional RepairsResult bundle later,low,test_final_emission_gate_orchestration_order
final_emission_strict_social_stack,game.final_emission_response_type,module,P,true,direct,Response-type contract enforcement,Keep,medium,test_final_emission_response_type;test_final_emission_gate_orchestration_order
final_emission_strict_social_stack,game.final_emission_meta,symbols,M,true,direct,FEM keys source inference decision payload,Dedupe duplicate import blocks,low,test_final_emission_gate_delegator_regression
final_emission_strict_social_stack,game.final_emission_sealed_fallback,symbol,F,true,direct,Replace-path realization family stamp,Keep on replace branch,low,test_final_emission_sealed_fallback
final_emission_strict_social_stack,game.final_emission_fast_fallback_composition,symbol,P,true,direct,FFNC composition layer,Keep,medium,test_final_emission_fast_fallback_composition
final_emission_strict_social_stack,game.final_emission_answer_shape_primacy,symbols,P,true,direct,ASP layer and debug merge,Merge debug via fem_assembly bundle,low,test_answer_shape_primacy
final_emission_strict_social_stack,game.final_emission_scene_state_anchor,symbols,P,true,direct,SSA layer and debug merge,Merge debug via fem_assembly bundle,low,test_scene_state_anchoring;test_final_emission_scene_state_anchor
final_emission_strict_social_stack,game.final_emission_context_separation,symbols,P,true,direct,CS layer and debug merge,Merge debug via fem_assembly bundle,low,test_context_separation
final_emission_strict_social_stack,game.final_emission_player_facing_narration_purity,symbols,P,true,direct,Purity layer and debug merge,Merge debug via fem_assembly bundle,low,test_player_facing_narration_purity
final_emission_strict_social_stack,game.final_emission_anti_railroading,symbols,P,true,direct,AR layer and debug merge,Merge debug via fem_assembly bundle,low,test_anti_railroading
final_emission_strict_social_stack,game.final_emission_tone_escalation,symbols,P,true,direct,TE layer merge and pregate flag,Merge debug via fem_assembly bundle,low,test_tone_escalation_rules
final_emission_strict_social_stack,game.final_emission_narrative_authority,symbols,P,true,direct,NA layer and debug merge,Merge debug via fem_assembly bundle,low,test_narrative_authority_rules
final_emission_strict_social_stack,game.final_emission_scene_emit_integrity,symbol,P,true,direct,Scene emit integrity bundle for finalize,Typed input bundle from gate preflight,medium,test_final_emission_scene_emit_integrity
final_emission_strict_social_stack,game.final_emission_text,symbols,X,true,direct,Text normalization,Keep shared primitive,low,test_final_emission_gate_orchestration_order
final_emission_strict_social_stack,game.fallback_provenance_debug,symbol,F,false,metadata_only,Provenance realign after FFNC repair,Return realign hint from FFNC layer owner,low,test_fallback_overwrite_containment;test_final_emission_fast_fallback_composition
final_emission_strict_social_stack,game.speaker_contract_enforcement,symbols,S,true,direct,Speaker enforcement and eff sync,Keep order-sensitive,high,test_speaker_contract_enforcement;test_speaker_contract_enforcement_extraction;post_speaker_finalize_probe
final_emission_strict_social_stack,game.social_exchange_emission,symbols,P/F/T,true,direct,Build logging emergency fallback,Move logging to fem_assembly; keep build/fallback symbols,low,test_social_exchange_emission;test_final_emission_gate_diagnostics
final_emission_strict_social_stack,game.stage_diff_telemetry,symbol,T,false,telemetry,Stage snapshot after strict composition,Optional bundle with finalize telemetry,low,test_turn_packet_stage_diff_integration
final_emission_non_strict_stack,game.final_emission_boundary_contract,symbol,P,true,direct,Mutation assert on IC validate-only,Keep,medium,test_final_emission_boundary_contract
final_emission_non_strict_stack,game.fallback_provenance_debug,symbol,F,false,metadata_only,FFNC provenance realign,Move to FFNC layer return meta,low,test_fallback_overwrite_containment
final_emission_non_strict_stack,game.final_emission_finalize,symbol,M,false,argument_owner,patch_scene_opening_candidate_emission_debug only,Move to opening_fallback or response_type owner,low,test_final_emission_opening_fallback
final_emission_non_strict_stack,game.final_emission_repairs,symbols,P,true,direct,Generic repair layers and FB layer,Keep apply imports drop merge imports,low,test_fallback_behavior_gate
final_emission_non_strict_stack,game.final_emission_fast_fallback_composition,symbol,P,true,direct,FFNC layer,Keep,medium,test_final_emission_fast_fallback_composition
final_emission_non_strict_stack,game.final_emission_answer_shape_primacy,symbols,P,true,direct,ASP layer and merge,Merge via fem_assembly,low,test_answer_shape_primacy
final_emission_non_strict_stack,game.final_emission_scene_state_anchor,symbols,P,true,direct,SSA layer and merge,Merge via fem_assembly,low,test_final_emission_scene_state_anchor
final_emission_non_strict_stack,game.final_emission_context_separation,symbols,P,true,direct,CS layer and merge,Merge via fem_assembly,low,test_context_separation
final_emission_non_strict_stack,game.final_emission_player_facing_narration_purity,symbols,P,true,direct,Purity layer and merge,Merge via fem_assembly,low,test_player_facing_narration_purity
final_emission_non_strict_stack,game.final_emission_anti_railroading,symbols,P,true,direct,AR layer and merge,Merge via fem_assembly,low,test_anti_railroading
final_emission_non_strict_stack,game.final_emission_tone_escalation,symbols,P,true,direct,TE layer and merge,Merge via fem_assembly,low,test_tone_escalation_rules
final_emission_non_strict_stack,game.final_emission_narrative_authority,symbols,P,true,direct,NA layer and merge,Merge via fem_assembly,low,test_narrative_authority_rules
final_emission_non_strict_stack,game.interaction_continuity,symbol,P,true,direct,Validate-only IC before fallback behavior,Keep order-sensitive,high,test_final_emission_gate_orchestration_order
final_emission_non_strict_stack,game.final_emission_opening_fallback,module,F,true,direct,Scene opening accept path promotion,Keep,medium,test_final_emission_opening_fallback
final_emission_non_strict_stack,game.final_emission_response_type,module,P,true,direct,Response-type contract,Keep,medium,test_final_emission_response_type
final_emission_non_strict_stack,game.final_emission_passive_scene_pressure,symbol,P,false,argument_owner,Preflight reject reasons for passive pressure,NonStrictPreflightContext input bundle,medium,test_final_emission_passive_scene_pressure
final_emission_non_strict_stack,game.final_emission_narrative_mode_output,symbols,P,true,direct,Pre-fork NMO assessment for generic exit,Keep feeds nmo_fem_trace_override,medium,test_c4_narrative_mode_live_pipeline
final_emission_non_strict_stack,game.final_emission_scene_emit_integrity,symbol,P,false,argument_owner,Integrity bundle computation,Input bundle from gate preflight,medium,test_final_emission_scene_emit_integrity
final_emission_non_strict_stack,game.final_emission_text,symbol,X,true,direct,Normalize text,Keep,low,test_final_emission_gate_orchestration_order
final_emission_terminal_pipeline,game.final_emission_acceptance_quality,symbol,P,true,direct,N4 floor seam late enforcement,Keep order-sensitive,high,test_final_emission_gate_n4;test_final_emission_acceptance_quality
final_emission_terminal_pipeline,game.interaction_continuity,symbols,P,true,direct,Strict IC validate and attach validation,Keep,high,test_final_emission_gate_n4;test_final_emission_gate_orchestration_order
final_emission_terminal_pipeline,game.final_emission_boundary_contract,symbol,P,true,direct,Mutation boundary asserts,Keep,medium,test_final_emission_boundary_no_semantic_repair
final_emission_terminal_pipeline,game.final_emission_finalize,symbol,M,false,argument_owner,reassert_scene_opening_accepted_candidate,Move to opening_fallback owner,low,test_final_emission_opening_fallback
final_emission_terminal_pipeline,game.final_emission_meta,symbols,M,true,direct,FEM keys narration constraint debug producer stamps,Extract narration constraint debug builder module,low,test_final_emission_visibility;test_speaker_contract_enforcement
final_emission_terminal_pipeline,game.final_emission_sealed_fallback,symbols,F,true,direct,Emergency patch stamps on strict paths,Keep,medium,test_final_emission_sealed_fallback
final_emission_terminal_pipeline,game.final_emission_narrative_mode_output,symbols,P,true,direct,NMO assessment and trace merge,Keep order-sensitive,high,test_c4_narrative_mode_live_pipeline;test_final_emission_gate_selector_snapshots
final_emission_terminal_pipeline,game.final_emission_referential_clarity,symbol,P,true,direct,Pre-finalize referent clarity and FM exemption,Keep,high,test_referential_clarity_player_coref;test_final_emission_boundary_no_semantic_repair
final_emission_terminal_pipeline,game.final_emission_repairs,symbols,P/F,true,direct,Fallback behavior and referent clarity layers,Keep,medium,test_fallback_behavior_gate
final_emission_terminal_pipeline,game.final_emission_text,symbol,X,true,direct,Normalize,Keep,low,test_final_emission_boundary_no_semantic_repair
final_emission_terminal_pipeline,game.final_emission_visibility_fallback,symbol,F/P,true,direct,Visibility enforcement entrypoint,Keep single black-box import,medium,test_final_emission_visibility;test_final_emission_visibility_fallback
final_emission_terminal_pipeline,game.narration_visibility,symbol,P,false,metadata_only,Build visibility contract for narration constraint debug,Move to narration_constraint_debug owner,low,test_final_emission_visibility
final_emission_terminal_pipeline,game.social_exchange_emission,symbols,F,true,direct,Minimal social emergency fallback lines,Keep,medium,test_social_exchange_emission
final_emission_terminal_pipeline,game.speaker_contract_enforcement,symbol,S,false,metadata_only,get_speaker_selection_contract for debug,Move with narration_constraint_debug owner,low,test_speaker_contract_enforcement
final_emission_finalize,game.fallback_provenance_debug,symbols,F/M,true,direct,Exit provenance containment and gate exit record,Keep,medium,test_fallback_overwrite_containment
final_emission_finalize,game.final_emission_boundary_contract,symbol,P,true,direct,Finalize mutation asserts,Keep,medium,test_final_emission_boundary_convergence
final_emission_finalize,game.final_emission_meta,symbols,M,true,direct,FEM packaging sidecars lineage refresh,Keep hoist lazy sanitizer import if safe,low,test_final_emission_channel_separation
final_emission_finalize,game.final_emission_text,symbols,X,true,direct,Sanitize and normalize,Keep,low,test_final_emission_visibility
final_emission_finalize,game.final_emission_validators,symbol,P,true,direct,Sentence split for contamination strip,Keep,low,test_final_emission_boundary_convergence
final_emission_finalize,game.stage_diff_telemetry,symbol,T,false,telemetry,Exit stage snapshot,Keep,low,test_turn_packet_stage_diff_integration
final_emission_finalize,game.state_channels,symbols,M/T,true,direct,Public debug author channel projection,Keep replay surface,medium,test_final_emission_channel_separation
final_emission_visibility_fallback,game.final_emission_meta,symbols,M,true,direct,Producer repair kind and owner bucket stamps,Keep,low,test_final_emission_visibility_fallback
final_emission_visibility_fallback,game.exploration,symbol,P,true,direct,NPC pursuit session key constant,Keep,low,test_final_emission_passive_scene_pressure
final_emission_visibility_fallback,game.final_emission_text,symbol,X,true,direct,Normalize candidate text,Keep,low,test_final_emission_visibility_fallback
final_emission_visibility_fallback,game.interaction_context,symbol,P,true,direct,Interaction mode inspect for fallback routing,Keep dedupe lazy duplicate,low,test_final_emission_visibility_fallback
final_emission_visibility_fallback,game.narration_visibility,symbols,P,true,direct,Visibility FM RC validation,Keep order-sensitive chain,high,test_final_emission_visibility;test_referential_clarity_strict_social_local_repair
final_emission_visibility_fallback,game.social,symbol,P,true,direct,SOCIAL_KINDS for pursuit guard,Keep,low,test_final_emission_visibility_fallback
final_emission_visibility_fallback,game.final_emission_opening_fallback,lazy,F,false,indirect,Opening visibility safe selection,Facade via sealed_fallback selector,medium,test_final_emission_opening_fallback
final_emission_visibility_fallback,game.social_exchange_emission,lazy,F,false,indirect,Strict social emergency fallback candidates,Facade via sealed_fallback selector,medium,test_social_exchange_emission
final_emission_visibility_fallback,game.final_emission_passive_scene_pressure,lazy,F,false,indirect,Passive scene pressure candidates,Facade via sealed_fallback selector,medium,test_final_emission_passive_scene_pressure
final_emission_visibility_fallback,game.diegetic_fallback_narration,lazy,F,false,indirect,NPC pursuit neutral fallback line,Facade via sealed_fallback selector,medium,test_diegetic_fallback_narration
final_emission_visibility_fallback,game.anti_reset_emission_guard,lazy,F,false,indirect,Anti-reset continuation and intro suppress,Facade or keep lazy in visibility owner,medium,test_final_emission_visibility_fallback
final_emission_visibility_fallback,game.final_emission_scene_emit_integrity,lazy,F,false,indirect,Global scene fallback selection,Facade via sealed_fallback selector,medium,test_final_emission_scene_emit_integrity
final_emission_visibility_fallback,game.final_emission_opening_mode,lazy,P,false,indirect,Opening mode active check,Keep inside visibility or sealed facade,low,test_final_emission_opening_fallback
final_emission_visibility_fallback,game.final_emission_sealed_fallback,lazy,F,false,indirect,Non-strict replace branch selector,Keep in sealed owner,medium,test_final_emission_sealed_fallback
final_emission_visibility_fallback,game.final_emission_first_mention_composition,lazy,F,false,indirect,Grounded scene intro fallback candidates,Facade inside visibility module,medium,test_final_emission_first_mention_composition
final_emission_visibility_fallback,game.final_emission_scene_facts,lazy,P,false,indirect,Augment scene with runtime visible leads,Keep inside standard_visibility_safe_fallback,low,test_final_emission_visibility_fallback
final_emission_visibility_fallback,game.final_emission_boundary_contract,lazy,P,true,direct,Hard replace mutation asserts,Hoist to module top,low,test_final_emission_boundary_contract
final_emission_visibility_fallback,game.final_emission_referential_clarity,lazy,P,true,direct,Default RC meta and local substitution repair,Hoist to module top,medium,test_referential_clarity_strict_social_local_repair
final_emission_response_type,game.final_emission_meta,symbols,M,true,direct,Default RT debug and opening bucket stamp,Keep policy owner surface,low,test_final_emission_response_type
final_emission_response_type,game.final_emission_opening_fallback,symbols,F,true,direct,Opening safe fallback contract adapter,Keep,medium,test_final_emission_opening_fallback
final_emission_response_type,game.final_emission_opening_mode,symbol,P,true,direct,Opening mode detection,Keep,low,test_final_emission_opening_fallback
final_emission_response_type,game.final_emission_text,symbols,X,true,direct,Text normalization,Keep,low,test_final_emission_response_type
final_emission_response_type,game.final_emission_validators,symbols,P,true,direct,Contract validators dispatch,Keep,medium,test_final_emission_response_type
final_emission_response_type,game.opening_deterministic_fallback,symbol,F,true,direct,Opening context from gm output,Keep,low,test_final_emission_opening_fallback
final_emission_response_type,game.realization_provenance,symbols,M,true,direct,Fallback family attach on repairs,Keep,low,test_final_emission_response_type
final_emission_response_type,game.response_policy_contracts,symbols,P,true,direct,Resolve response type contract,Keep,medium,test_final_emission_response_type
final_emission_response_type,game.social_exchange_emission,symbols,F,true,direct,Dialogue repair fallbacks,Keep,medium,test_social_exchange_emission
final_emission_response_type,game.upstream_response_repairs,symbols,F,true,direct,Upstream prepared emission reads,Keep,medium,test_final_emission_response_type
